Temps de résolution Backtracking, Temps de résolution Branch & Bound1 (Orienté arête),Nombre de noeuds explorés Branch & Bound1, Temps de résolution Branch & Bound2 (Orienté sommet),Nombre de noeuds explorés Branch & Bound2, Temps de résolution programmation dynamique, Temps de résolution PLNE 
3.62635,0.206152,583209,0.0454773,926903,0.00753353,2.201
2.63554,0.0722,5771,0.000891888,18673,0.00733949,0.591
2.65944,0.0432653,130583,0.00674893,142360,0.00733163,0.816
2.56865,0.0403216,107597,0.00335386,67840,0.00742507,0.272
2.6608,0.0197255,48413,0.0169323,346277,0.00747472,0.256
8.90261,0.0273133,76325,0.00955304,195006,0.00756951,0.268
2.51607,0.0064287,8597,0.000942438,19482,0.00724824,0.801
1.0756,0.0131762,41533,0.0137332,269110,0.00719918,0.848
2.54912,0.00583645,13589,0.00280936,58553,0.0070529,0.137
4.71743,0.0154218,50163,0.00121374,25742,0.00738169,0.126
5.29478,0.58638,1407047,0.0170514,361354,0.00752974,0.79
1.37899,0.203688,3433,0.00646441,134133,0.0076658,0.403
8.5315,0.0179152,54685,0.0084952,175915,0.00750561,0.457
10.5137,0.0192303,52381,0.00377932,78528,0.00757613,0.135
2.05724,0.0224151,69155,0.00450337,92516,0.00740066,0.854
2.8901,0.0103937,22835,0.00290281,61705,0.00743927,0.78
1.44118,0.000715258,107,0.000599019,12711,0.00778624,0.554
6.34791,0.0805708,233589,0.00987692,205002,0.00732623,0.807
5.51226,0.0522597,106179,0.00385929,78483,0.00728677,1.114
2.57216,0.0242953,59171,0.00943212,196347,0.00748936,0.045
3.94312,0.246704,691721,0.00540136,112834,0.00751529,0.085
4.35753,0.166338,219547,0.00975195,202141,0.00720345,1.086
2.44956,0.0252091,22747,0.0231236,483868,0.0071807,0.776
3.15811,0.112354,335899,0.0157897,326753,0.00754005,2.866
0.813382,0.0155828,25,4.5847e-05,935,0.0264634,0.104
4.3013,0.0423582,120215,0.00629933,130134,0.00752368,1.152
3.73229,0.0384512,92537,0.00555663,118445,0.00750545,0.729
15.4732,14.9854,25429367,0.0836352,1647755,0.00769776,0.438
7.03756,4.92214,205479,0.00408561,85065,0.00756494,0.085
3.442,0.0176801,5345,0.00101952,21692,0.00746277,0.3
2.23386,0.0106204,34283,0.0097264,203082,0.00751868,0.681
4.10509,0.0070071,16753,0.00057123,11614,0.00719289,1.335
0.851795,0.000599039,29,0.000139326,2724,0.00743901,0.325
1.28359,0.000166529,437,9.575e-05,1999,0.00750672,0.993
1.25657,0.000336681,917,0.000772558,16066,0.00747218,0.042
12.9118,0.269824,686801,0.0138957,289873,0.00723754,0.429
1.94762,0.107552,67597,0.0105453,221125,0.0074373,1.45
9.69019,3.99164,7690337,0.00868441,172956,0.00738989,0.444
1.98936,1.32017,13033,0.00394443,82063,0.007418,0.108
7.53379,5.77654,9745125,0.0202671,430464,0.00794967,0.171
3.6915,1.73324,260853,0.019366,391031,0.00753916,0.315
0.419566,0.0244996,1771,0.00615251,122049,0.00690448,2.921
0.707676,0.000838124,2227,0.00457397,95188,0.00730262,0.503
7.77439,0.0902931,274261,0.0268329,534854,0.00755984,1.997
2.12327,0.0274692,9793,0.00796966,158828,0.006891,0.166
6.0366,5.79452,11149573,0.0880209,1773211,0.00746893,0.689
2.86315,1.91135,101321,0.0247568,528702,0.00728455,0.726
1.80515,0.00349099,125,0.00169893,35161,0.00982025,0.076
0.797205,0.024413,82085,0.0137788,266665,0.00721229,1.055
2.23059,0.013799,33243,0.00266309,57213,0.00759977,0.341
2.44426,0.00594865,15521,0.00107527,22826,0.00734884,0.057
4.03814,0.042804,126491,0.0426682,870899,0.00751931,1.13
2.61682,0.00793162,1123,0.000604446,12445,0.00739879,0.304
0.925369,0.0420646,141455,0.00556313,120419,0.00746419,0.457
11.6317,0.794588,1748681,0.0191978,401847,0.00748224,0.156
10.0182,1.16846,1955091,0.0147766,305628,0.00785863,0.051
0.81571,0.327762,100985,0.00429865,89935,0.00751388,0.324
